delivery_partner_id,partner_name,city,vehicle_type,employment_type,avg_rating,is_active
DP09615,Neha E,Bengaluru,Scooter,Full-Time,3.77,True
DP02021,Neha V,Bengaluru,Bike,Full-Time,3.9,True
DP05541,Vikas S,Delhi,Cycle,Part-Time,3.33,True
DP13859,Amit B,Delhi,Cycle,Part-Time,4.07,False
DP08091,Arjun R,Mumbai,Car,Full-Time,4.63,True
DP14063,Divya M,Chennai,Scooter,Full-Time,3.84,True
DP07728,Ravi O,Bengaluru,Scooter,Full-Time,4.63,True
DP01276,Suresh O,Delhi,Bike,Contract,4.34,True
DP03078,Deepak E,Delhi,Bike,Full-Time,4.83,True
DP08227,Sneha W,Ahmedabad,Scooter,Part-Time,4.33,False
DP11625,Meena N,Mumbai,Cycle,Full-Time,3.59,True
DP03817,Sneha U,Delhi,Bike,Full-Time,4.12,True
DP11899,Priya U,Delhi,Bike,Part-Time,4.33,True
DP10285,Kiran U,Chennai,Bike,Contract,3.92,True
DP06552,Vikas Q,Bengaluru,Bike,Part-Time,4.64,True
DP05758,Priya X,Chennai,Bike,Contract,4.57,True
DP12003,Manoj M,Pune,Cycle,Contract,3.76,True
DP13191,Arjun Z,Mumbai,Scooter,Contract,4.41,True
DP13337,Amit M,Hyderabad,Scooter,Part-Time,4.01,True
DP07869,Ananya P,Bengaluru,Bike,Part-Time,3.94,True
DP14443,Shreya R,Ahmedabad,Scooter,Contract,4.32,True
DP13891,Shreya U,Delhi,Car,Full-Time,4.0,True
DP13979,Nikhil D,Pune,Bike,Contract,4.07,True
DP01521,Kiran A,Pune,Scooter,Contract,4.48,True
DP04031,Arjun J,Kolkata,Bike,Part-Time,4.07,True
DP09740,Santosh R,Kolkata,Bike,Full-Time,3.95,False
DP01258,Meena W,Bengaluru,Scooter,Contract,4.24,True
DP09979,Vikas M,Pune,Cycle,Full-Time,4.9,True
DP08630,Sneha B,Bengaluru,Scooter,Contract,4.07,True
DP09746,Vikas Z,Ahmedabad,Scooter,Contract,4.88,True
DP09092,Ananya F,Bengaluru,Bike,Full-Time,4.04,True
DP03077,Meena G,Delhi,Bike,Full-Time,4.2,True
DP09794,Sneha C,Bengaluru,Bike,Contract,4.22,True
DP08695,Ananya L,Ahmedabad,Bike,Full-Time,4.01,True
DP02363,Divya S,Bengaluru,Scooter,Contract,4.45,True
DP02333,Ananya B,Bengaluru,Scooter,Part-Time,4.69,True
DP02395,Shreya H,Pune,Cycle,Full-Time,3.95,True
DP11158,Meena I,Mumbai,Cycle,Full-Time,4.01,True
DP02663,Divya J,Mumbai,Cycle,Part-Time,4.08,True
DP04968,Pooja Z,Bengaluru,Bike,Full-Time,5.0,True
DP01370,Kiran E,Ahmedabad,Cycle,Part-Time,3.63,True
DP11740,Deepak G,Ahmedabad,Scooter,Full-Time,3.5,True
DP02710,Amit M,Bengaluru,Car,Part-Time,4.38,True
DP08694,Ravi P,Bengaluru,Scooter,Full-Time,4.12,True
DP07695,Divya V,Kolkata,Scooter,Full-Time,4.27,True
DP12739,Vikas K,Kolkata,Bike,Contract,4.13,True
DP12185,Rahul B,Ahmedabad,Bike,Full-Time,4.25,False
DP05973,Meena L,Bengaluru,Bike,Part-Time,4.47,True
DP10806,Pooja M,Delhi,Bike,Full-Time,4.52,True
DP04226,Neha Z,Bengaluru,Bike,Part-Time,4.69,True
DP07785,Sneha S,Mumbai,Scooter,Full-Time,4.06,True
DP09098,Sneha E,Delhi,Cycle,Contract,4.22,True
DP10704,Nikhil N,Mumbai,Scooter,Contract,3.17,True
DP14836,Rahul G,Delhi,Cycle,Contract,4.46,True
DP06599,Sneha Q,Mumbai,Bike,Full-Time,4.04,True
DP09559,Suresh U,Ahmedabad,Scooter,Contract,4.2,True
DP08783,Rakesh R,Ahmedabad,Bike,Contract,4.24,False
DP04638,Shreya A,Delhi,Scooter,Full-Time,4.36,True
DP13301,Rakesh H,Delhi,Scooter,Full-Time,4.27,True
DP09301,Sneha H,Bengaluru,Bike,Part-Time,4.12,True
DP12066,Divya D,Bengaluru,Bike,Part-Time,3.68,False
DP03478,Santosh O,Ahmedabad,Bike,Contract,4.73,True
DP09056,Kiran J,Bengaluru,Bike,Part-Time,3.99,True
DP01330,Divya B,Chennai,Bike,Full-Time,3.76,False
DP09316,Kiran O,Delhi,Bike,Full-Time,3.77,True
DP05808,Kiran D,Chennai,Bike,Full-Time,4.56,False
DP00239,Amit O,Kolkata,Bike,Part-Time,3.85,True
DP07942,Nikhil Q,Delhi,Bike,Part-Time,4.62,True
DP08710,Arjun W,Mumbai,Scooter,Full-Time,4.14,True
DP10749,Meena K,Hyderabad,Bike,Part-Time,4.55,True
DP06199,Nikhil X,Chennai,Scooter,Part-Time,4.06,True
DP08431,Arjun B,Bengaluru,Bike,Full-Time,4.39,False
DP12551,Pooja S,Bengaluru,Scooter,Part-Time,4.17,True
DP09730,Nikhil W,Mumbai,Scooter,Part-Time,4.29,True
DP12883,Rakesh H,Bengaluru,Bike,Full-Time,4.07,False
DP12304,Vikas T,Hyderabad,Cycle,Part-Time,4.49,True
DP08383,Priya Q,Delhi,Bike,Full-Time,4.15,False
DP06741,Meena K,Delhi,Bike,Full-Time,3.97,True
DP08105,Deepak S,Bengaluru,Bike,Full-Time,4.62,True
DP11517,Deepak I,Delhi,Scooter,Full-Time,3.97,True
DP08216,Suresh H,Pune,Cycle,Full-Time,4.2,True
DP09801,Ananya Y,Kolkata,Bike,Part-Time,4.02,True
DP14440,Meena N,Bengaluru,Car,Full-Time,4.39,True
DP13391,Ananya J,Delhi,Scooter,Full-Time,4.47,True
DP01217,Ravi N,Chennai,Bike,Full-Time,4.53,True
DP12919,Priya R,Hyderabad,Bike,Contract,3.79,True
DP00437,Shreya T,Mumbai,Car,Contract,4.28,True
DP05019,Divya P,Chennai,Scooter,Full-Time,3.8,True
DP12561,Vikas C,Ahmedabad,Bike,Full-Time,4.04,True
DP06832,Arjun D,Kolkata,Car,Full-Time,4.02,True
DP00398,Manoj R,Pune,Scooter,Full-Time,4.19,True
DP11426,Kiran O,Hyderabad,Scooter,Part-Time,4.09,True
DP01740,Deepak H,Chennai,Cycle,Part-Time,3.31,True
DP03778,Neha I,Hyderabad,Bike,Part-Time,4.13,True
DP00001,Manoj S,Kolkata,Scooter,Contract,3.96,True
DP14237,Ananya G,Bengaluru,Bike,Part-Time,4.34,True
DP11242,Neha B,Delhi,Cycle,Full-Time,4.2,True
DP02206,Rakesh Y,Pune,Scooter,Contract,4.37,False
DP03809,Shreya B,Hyderabad,Scooter,Part-Time,3.81,True
DP13772,Ravi J,Chennai,Cycle,Full-Time,4.32,True
DP08640,Suresh C,Delhi,Bike,Full-Time,4.1,True
DP13121,Neha V,Pune,Bike,Full-Time,3.89,True
DP13852,Meena S,Kolkata,Bike,Contract,4.7,True
DP05845,Pooja P,Bengaluru,Bike,Full-Time,4.07,True
DP06238,Manoj U,Kolkata,Bike,Full-Time,3.97,True
DP02795,Arjun W,Chennai,Scooter,Full-Time,4.07,True
DP06738,Neha E,Mumbai,Scooter,Full-Time,4.25,True
DP11383,Shreya R,Chennai,Scooter,Full-Time,4.28,True
DP02677,Kiran Q,Pune,Bike,Contract,4.51,True
DP03566,Rakesh W,Delhi,Bike,Contract,4.79,True
DP01238,Sneha T,Pune,Scooter,Contract,4.46,True
DP09346,Suresh F,Hyderabad,Scooter,Full-Time,4.75,True
DP12235,Manoj U,Hyderabad,Bike,Full-Time,3.85,True
DP11594,Amit G,Bengaluru,Bike,Full-Time,4.03,True
DP04616,Rakesh D,Mumbai,Bike,Part-Time,3.95,True
DP01366,Deepak L,Kolkata,Scooter,Part-Time,4.38,True
DP12916,Rahul N,Hyderabad,Bike,Contract,4.45,False
DP05524,Ananya W,Chennai,Car,Full-Time,4.5,True
DP01631,Meena N,Hyderabad,Scooter,Full-Time,4.2,True
DP01114,Amit W,Bengaluru,Bike,Full-Time,4.04,True
DP13768,Rahul Q,Mumbai,Scooter,Part-Time,4.08,True
DP10807,Nikhil H,Delhi,Scooter,Full-Time,3.56,True
DP09586,Neha Z,Hyderabad,Bike,Part-Time,4.51,True
DP04127,Ravi A,Mumbai,Bike,Contract,4.17,True
DP06383,Pooja E,Ahmedabad,Scooter,Contract,4.54,True
DP01828,Ravi O,Bengaluru,Cycle,Full-Time,3.98,True
DP02507,Manoj S,Pune,Scooter,Full-Time,4.5,True
DP04469,Santosh K,Bengaluru,Scooter,Part-Time,4.05,True
DP10063,Rakesh X,Hyderabad,Car,Contract,4.09,True
DP13817,Kiran S,Bengaluru,Bike,Contract,3.85,True
DP01947,Priya Z,Delhi,Scooter,Full-Time,3.89,True
DP14074,Santosh A,Chennai,Cycle,Full-Time,4.14,True
DP07410,Nikhil U,Ahmedabad,Bike,Full-Time,3.97,True
DP13135,Meena J,Bengaluru,Bike,Part-Time,4.03,True
DP14357,Pooja F,Bengaluru,Scooter,Full-Time,4.22,True
DP07367,Rahul R,Bengaluru,Scooter,Part-Time,4.0,True
DP11743,Amit Q,Ahmedabad,Scooter,Contract,3.65,True
DP05853,Ravi V,Hyderabad,Cycle,Full-Time,4.4,True
DP02217,Kiran A,Ahmedabad,Scooter,Contract,4.1,True
DP03159,Vikas N,Mumbai,Bike,Contract,4.1,True
DP08164,Nikhil T,Delhi,Bike,Full-Time,4.51,False
DP03869,Nikhil H,Bengaluru,Bike,Part-Time,4.41,True
DP06956,Shreya X,Kolkata,Bike,Full-Time,3.97,True
DP03991,Kiran P,Hyderabad,Scooter,Full-Time,4.16,True
DP10714,Deepak U,Hyderabad,Bike,Full-Time,3.88,True
DP06617,Ravi Q,Bengaluru,Scooter,Full-Time,4.2,True
DP13830,Santosh U,Mumbai,Bike,Full-Time,4.43,True
DP00254,Suresh F,Mumbai,Scooter,Full-Time,3.7,True
DP01837,Deepak C,Mumbai,Scooter,Full-Time,4.37,True
DP07067,Nikhil K,Bengaluru,Car,Contract,3.91,True
DP14904,Rakesh R,Pune,Bike,Part-Time,4.2,True
DP07343,Priya K,Kolkata,Scooter,Contract,4.09,True
DP08718,Arjun D,Ahmedabad,Cycle,Full-Time,4.68,False
DP01467,Vikas A,Bengaluru,Bike,Full-Time,3.84,True
DP08426,Vikas H,Ahmedabad,Scooter,Contract,4.01,True
DP06466,Deepak D,Mumbai,Cycle,Full-Time,4.47,True
DP06470,Sneha S,Mumbai,Car,Contract,4.43,True
DP12880,Rahul N,Chennai,Cycle,Contract,4.88,True
DP11348,Divya L,Hyderabad,Bike,Part-Time,4.31,True
DP03210,Manoj D,Mumbai,Cycle,Full-Time,4.16,True
DP04101,Priya L,Bengaluru,Scooter,Part-Time,4.92,True
DP07859,Ananya Y,Bengaluru,Bike,Full-Time,4.28,True
DP04035,Neha R,Delhi,Bike,Contract,4.23,True
DP07644,Divya W,Kolkata,Car,Part-Time,3.86,True
DP07317,Manoj Z,Ahmedabad,Scooter,Contract,4.1,False
